File,Speaker,Tier_Labels
QUSF2018_02_03S1 _pub.txt,A,"dt, Annotations Count: 205, mb, Annotations Count: 205, gl, Annotations Count: 205"
QUSF2018_02_03S1 _pub.txt,B,"dt, Annotations Count: 243, mb, Annotations Count: 243, gl, Annotations Count: 243"
QUSF2018_02_03S1 _pub.txt,C,"dt, Annotations Count: 52, mb, Annotations Count: 51, gl, Annotations Count: 51"
QUSF2018_02_03S1 _pub.txt,Hermelinda Tituaña,"po, Annotations Count: 53, tn, Annotations Count: 53"
QUSF2018_02_03S1 _pub.txt,Rosario Tupiza,"po, Annotations Count: 247, tn, Annotations Count: 247"
QUSF2018_02_03S1 _pub.txt,Simeon,"po, Annotations Count: 205, tn, Annotations Count: 205"
QUSF2018_02_03S2_pub.txt,A,"po, Annotations Count: 715, dt, Annotations Count: 700, mb, Annotations Count: 137, gl, Annotations Count: 127, tn, Annotations Count: 701"
QUSF2018_02_03S2_pub.txt,B,"po, Annotations Count: 399, dt, Annotations Count: 392, mb, Annotations Count: 101, gl, Annotations Count: 96, tn, Annotations Count: 394"
QUSF2018_02_09S1_pub.txt,A,"dt, Annotations Count: 81, mb, Annotations Count: 80, gl, Annotations Count: 29, tl, Annotations Count: 67, tn, Annotations Count: 81"
QUSF2018_02_09S1_pub.txt,B,"dt, Annotations Count: 38, mb, Annotations Count: 38, gl, Annotations Count: 5, tl, Annotations Count: 34, tn, Annotations Count: 38"
QUSF2018_02_09S1_pub.txt,C,"dt, Annotations Count: 110, mb, Annotations Count: 110, gl, Annotations Count: 63, tl, Annotations Count: 99, tn, Annotations Count: 111"
QUSF2018_02_09S1_pub.txt,D,"dt, Annotations Count: 115, mb, Annotations Count: 114, gl, Annotations Count: 25, tl, Annotations Count: 101, tn, Annotations Count: 115"
QUSF2018_02_09S1_pub.txt,E,"dt, Annotations Count: 27, mb, Annotations Count: 26, gl, Annotations Count: 4, tl, Annotations Count: 25, tn, Annotations Count: 27"
QUSF2018_02_09S1_pub.txt,Simeon,"po, Annotations Count: 115"
QUSF2018_02_09S1_pub.txt,señora con sombrero,"po, Annotations Count: 27"
QUSF2018_02_09S1_pub.txt,señora de chalinaa,"po, Annotations Count: 38"
QUSF2018_02_09S1_pub.txt,señora de saco azul,"po, Annotations Count: 81"
QUSF2018_02_09S1_pub.txt,señora de saco blanco,"po, Annotations Count: 111"
QUSF2018_02_18S2_pub.txt,A,"dt, Annotations Count: 14, mb, Annotations Count: 13, gl, Annotations Count: 13, tl, Annotations Count: 1"
QUSF2018_02_18S2_pub.txt,Andres Anrango,"po, Annotations Count: 62, tn, Annotations Count: 62"
QUSF2018_02_18S2_pub.txt,H,"dt, Annotations Count: 49, mb, Annotations Count: 49, gl, Annotations Count: 49, tl, Annotations Count: 1"
QUSF2018_02_18S2_pub.txt,Hortencia,"po, Annotations Count: 25, tn, Annotations Count: 25"
QUSF2018_02_18S2_pub.txt,Nicolas Muzo,"po, Annotations Count: 102, tn, Annotations Count: 102"
QUSF2018_02_18S2_pub.txt,Ponch rojo 2,"po, Annotations Count: 131"
QUSF2018_02_18S2_pub.txt,Poncho Rojo,"po, Annotations Count: 38, tn, Annotations Count: 38"
QUSF2018_02_18S2_pub.txt,Poncho rojo 2,"tn, Annotations Count: 131"
