Speaker: hombre 1
  Tier Type: po, Annotations Count: 256
    Time Stamp: ("'ts4'", "'ts6'"), Annotation: ñuka parlangapak munani mm... shuk
    Time Stamp: ("'ts7'", "'ts8'"), Annotation: quitomanda ingeniero ima chari shina shuk
    Time Stamp: ("'ts9'", "'ts10'"), Annotation: shuk señorwan
    Time Stamp: ("'ts11'", "'ts12'"), Annotation: yyyy
    Time Stamp: ("'ts13'", "'ts14'"), Annotation: paymi tapungapak munan
    Time Stamp: ("'ts15'", "'ts16'"), Annotation: imashna ñukanchi kawsashkianchi
    Time Stamp: ("'ts17'", "'ts18'"), Annotation: desde wawamandapacha
    Time Stamp: ("'ts19'", "'ts20'"), Annotation: yachangapak  munani nin
    Time Stamp: ("'ts21'", "'ts22'"), Annotation: historiata llukchingapak
    Time Stamp: ("'ts23'", "'ts24'"), Annotation: perooo
    Time Stamp: ("'ts25'", "'ts26'"), Annotation: ñukapash na ali yuyarini
    Time Stamp: ("'ts27'", "'ts28'"), Annotation: wambra wambraka jawapi kawsarkanchik  kunan kay centro civicopi kawsanchi
    Time Stamp: ("'ts29'", "'ts30'"), Annotation: jawaka ashtawan chiri chiri
    Time Stamp: ("'ts31'", "'ts32'"), Annotation: uksha wasigupi kawsarkanchi
    Time Stamp: ("'ts33'", "'ts34'"), Annotation: chaypi kawsarkanchi
    Time Stamp: ("'ts35'", "'ts36'"), Annotation: ñukanchi papasito mamitakuna analfabeto karka
    Time Stamp: ("'ts37'", "'ts38'"), Annotation: algo algo shina castellanota shina parla karka
    Time Stamp: ("'ts39'", "'ts40'"), Annotation: ñukanchipash
    Time Stamp: ("'ts41'", "'ts42'"), Annotation: ña ñuka kasi ña seis año kakpimi
    Time Stamp: ("'ts43'", "'ts44'"), Annotation: escuelaaa
    Time Stamp: ("'ts45'", "'ts46'"), Annotation: llukshirka ñuka llakta chimbapi
    Time Stamp: ("'ts47'", "'ts48'"), Annotation: eee escuela llukshirka
    Time Stamp: ("'ts49'", "'ts50'"), Annotation: cuarto grado kamalla
    Time Stamp: ("'ts51'", "'ts52'"), Annotation: mmm ashtawambash quinto sextoka na tyarkachu
