Speaker: hombre
  Tier Type: po, Annotations Count: 180
    Time Stamp: ("'ts1'", "'ts3'"), Annotation: ñukapak shutimi kan Antonio Vagas Cevallos
    Time Stamp: ("'ts6'", "'ts7'"), Annotation: ñuka charini 42 años
    Time Stamp: ("'ts13'", "'ts14'"), Annotation: ñukamanta chay tapuyta rrushkamanta (...chullanakunata.)
    Time Stamp: ("'ts15'", "'ts16'"), Annotation: magrugado llukshinchi watanawan kjiwapi churanchi
    Time Stamp: ("'ts17'", "'ts18'"), Annotation: tardelado kuti shinallata rrushkanchi
    Time Stamp: ("'ts19'", "'ts20'"), Annotation: tukuy trabajo kan llama cuidana llamagukuna  mishma tiarikpi  rrutuy tukunchi nachu
    Time Stamp: ("'ts21'", "'ts22'"), Annotation: (....) shina trabajashpa tianchi ñuka warmi ñukanchi wawakunawan nachu
    Time Stamp: ("'ts23'", "'ts24'"), Annotation: kunan rratoka charinchi  veinticincota charinchi
    Time Stamp: ("'ts25'", "'ts26'"), Annotation: wataymanga michingapaj  rini washa ñuka ashpakan (...)pungu  nishka
    Time Stamp: ("'ts27'", "'ts28'"), Annotation: cascada (...)
    Time Stamp: ("'ts29'", "'ts30'"), Annotation: .(.. )lomata washujushpa
    Time Stamp: ("'ts31'", "'ts32'"), Annotation: chaymanmi apanchi michinaman, washapi watanaman chayman apashpa purinchi (...)
    Time Stamp: ("'ts47'", "'ts48'"), Annotation: chay kinllata ñukanchi wanungapaj nishpa cada quimsa punlla(...)
    Time Stamp: ("'ts49'", "'ts50'"), Annotation: cada chushku punlla  .(.. .)tigranchi
    Time Stamp: ("'ts51'", "'ts52'"), Annotation: mana kashpaka ñukanchi wanuwata  tandachinchi  shintangapaj
    Time Stamp: ("'ts53'", "'ts54'"), Annotation: chay tukuypi ñukanchi wanuta kunan tandachish charijunchi
    Time Stamp: ("'ts55'", "'ts56'"), Annotation: ñukanchi  (...) mas chay wanuwan (...) papawan shumak (....)
    Time Stamp: ("'ts57'", "'ts58'"), Annotation: chaymi ( ...) tigrana yachani  (...)
    Time Stamp: ("'ts86'", "'ts88'"), Annotation: washalado
    Time Stamp: ("'ts89'", "'ts91'"), Annotation: ari rikushpa muyunasha kan
    Time Stamp: ("'ts100'", "'ts103'"), Annotation: wachashkakuna (...) recienlla wachanakurka
    Time Stamp: ("'ts115'", "'ts116'"), Annotation: kunan punlla wacharka reciencito  wachaskawami
    Time Stamp: ("'ts117'", "'ts118'"), Annotation: chay mamaka pay kan reciencito wachaska
    Time Stamp: ("'ts119'", "'ts120'"), Annotation: ari payka mamakan
    Time Stamp: ("'ts121'", "'ts122'"), Annotation: (...) karakun
    Time Stamp: ("'ts135'", "'ts136'"), Annotation: (.....) llullu pungukunata ushkashka
    Time Stamp: ("'ts137'", "'ts138'"), Annotation: muntun wawakunata (....)
    Time Stamp: ("'ts141'", "'ts142'"), Annotation: quinchawan apanchi
    Time Stamp: ("'ts143'", "'ts144'"), Annotation: chaypi comodashun
    Time Stamp: ("'ts147'", "'ts148'"), Annotation: kaymi kan habas
    Time Stamp: ("'ts154'", "'ts156'"), Annotation: shamuy shamuy
    Time Stamp: ("'ts164'", "'ts166'"), Annotation: nachu?
    Time Stamp: ("'ts167'", "'ts169'"), Annotation: (.....) ñukanchi trabajota charina kanchi (....)
    Time Stamp: ("'ts170'", "'ts172'"), Annotation: (.....) ñukanchik  kaya tarpuna kanchi washapi
    Time Stamp: ("'ts173'", "'ts175'"), Annotation: Clever ñukanchita ayudana kan (....) pasanakan nachu
    Time Stamp: ("'ts174'", "'ts177'"), Annotation: sobrino ayudanguicha kaya puncha ñukanchita trabajashpa?
    Time Stamp: ("'ts178'", "'ts180'"), Annotation: shinapashka kambak mamitaman villangui nachu
    Time Stamp: ("'ts204'", "'ts206'"), Annotation: shinamikan nachu (...) trabajakanchi
    Time Stamp: ("'ts207'", "'ts208'"), Annotation: ....payka...  chay  ...washapi kawan
    Time Stamp: ("'ts209'", "'ts210'"), Annotation: .... ñuka warmiguta ayudashpa kumbidana kanguichi nachu
    Time Stamp: ("'ts211'", "'ts212'"), Annotation: chay miercolestapash kuti apamuna (..... ) charinchi chay
    Time Stamp: ("'ts213'", "'ts214'"), Annotation: kuti rinakanchi llama jatuyman bueno kangutallata yachanguichi (...)
    Time Stamp: ("'ts215'", "'ts216'"), Annotation: tukuytami apamushun kanguman karangabu kay semanaka tukuy (...)
    Time Stamp: ("'ts217'", "'ts218'"), Annotation: kimsa purawalla kanchi ñukash ushi Gladis mana rikurin imaurash tuparishun maypichari tuparishun
