Speaker: persona 1 simeon
  Tier Type: po, Annotations Count: 103
    Time Stamp: ("'ts2'", "'ts5'"), Annotation: pero kutin ima ima shuti kan kay llakta
    Time Stamp: ("'ts6'", "'ts7'"), Annotation: jatun yana urku	 aaa
    Time Stamp: ("'ts9'", "'ts12'"), Annotation: kaymanda kay ladupi kawsangichi
    Time Stamp: ("'ts13'", "'ts16'"), Annotation: a ya
    Time Stamp: ("'ts17'", "'ts19'"), Annotation: shutikunata tapusha  ima shuti kangi
    Time Stamp: ("'ts20'", "'ts23'"), Annotation: mashna watata charingi
    Time Stamp: ("'ts24'", "'ts27'"), Annotation:  aaa kikin ima shuti kangi
    Time Stamp: ("'ts28'", "'ts31'"), Annotation: aa mashna watata charingi
    Time Stamp: ("'ts33'", "'ts36'"), Annotation: 	 igualito mashna  ningi charini
    Time Stamp: ("'ts39'", "'ts41'"), Annotation: setenta y cinco
    Time Stamp: ("'ts42'", "'ts47'"), Annotation:  setenta y siete aa ya ima shuti kangi
    Time Stamp: ("'ts49'", "'ts51'"), Annotation: ee mashna watata charingi
    Time Stamp: ("'ts52'", "'ts55'"), Annotation:  setenta y dos ya ñukapa shuti kan simeon  eee bueno kay llaktakunapi purini shina  registro de kichwata rrurrashpa nachu
    Time Stamp: ("'ts56'", "'ts59'"), Annotation: kaypi ima tyan kaypi	 	 chayllachu
    Time Stamp: ("'ts92'", "'ts95'"), Annotation: aaaa
    Time Stamp: ("'ts104'", "'ts107'"), Annotation: (.......................)
    Time Stamp: ("'ts109'", "'ts112'"), Annotation: mmm
    Time Stamp: ("'ts121'", "'ts124'"), Annotation: chay entonces chay kikinguna chay amokunapak llamakuna michina karkangichi
    Time Stamp: ("'ts126'", "'ts131'"), Annotation: aaaa ovejerochu
    Time Stamp: ("'ts137'", "'ts139'"), Annotation: maypita karka chay amo
    Time Stamp: ("'ts140'", "'ts143'"), Annotation: cierto
    Time Stamp: ("'ts147'", "'ts148'"), Annotation: aaa pero (...................................)
    Time Stamp: ("'ts150'", "'ts154'"), Annotation: ima wata ima mashna wata charirkangichi
    Time Stamp: ("'ts156'", "'ts158'"), Annotation: ari
    Time Stamp: ("'ts166'", "'ts170'"), Annotation: a ya shina
    Time Stamp: ("'ts171'", "'ts173'"), Annotation: como kunan gradíochu karka
    Time Stamp: ("'ts174'", "'ts175'"), Annotation: aaa entonces chay
    Time Stamp: ("'ts187'", "'ts189'"), Annotation: imashpa shinanguichi kaypi aa tarpuna o wakra
    Time Stamp: ("'ts193'", "'ts198'"), Annotation: kaypi tutamanda animalta feria tyarkachu tutamanda kunan punlla tyarka animal feria
    Time Stamp: ("'ts202'", "'ts205'"), Annotation: rruna llamapash
    Time Stamp: ("'ts207'", "'ts208'"), Annotation: na tyanlu kaypi
    Time Stamp: ("'ts212'", "'ts213'"), Annotation: nima kuchi
    Time Stamp: ("'ts217'", "'ts218'"), Annotation: mashnan (................)
    Time Stamp: ("'ts220'", "'ts225'"), Annotation: chay tyan aaa cuy kuna chaykunapash
    Time Stamp: ("'ts227'", "'ts229'"), Annotation: a ya
    Time Stamp: ("'ts231'", "'ts233'"), Annotation: kikinguna kay ukupi jatunguichi
    Time Stamp: ("'ts240'", "'ts244'"), Annotation: kaypi wakaychigi nachu kaykunata
    Time Stamp: ("'ts246'", "'ts249'"), Annotation: aaa shumak chumbi
    Time Stamp: ("'ts250'", "'ts251'"), Annotation: aaa este
    Time Stamp: ("'ts252'", "'ts257'"), Annotation: warmikunapa chumbi churangi ari a ja
    Time Stamp: ("'ts261'", "'ts263'"), Annotation: ima cada martes
    Time Stamp: ("'ts273'", "'ts275'"), Annotation: y shuk feriakunaman rringichi o kay kaypilla
    Time Stamp: ("'ts276'", "'ts279'"), Annotation: aa tukuy
    Time Stamp: ("'ts280'", "'ts283'"), Annotation: ima punlla tyan feriakuna
    Time Stamp: ("'ts284'", "'ts287'"), Annotation: jueves saquisilipi nachu viernes maypi tyan
    Time Stamp: ("'ts288'", "'ts289'"), Annotation: latacungapi
    Time Stamp: ("'ts293'", "'ts303'"), Annotation: mm martes martes kaypi miercoleska maypi saquesili kuti juevespash tyan
    Time Stamp: ("'ts306'", "'ts307'"), Annotation: ari
    Time Stamp: ("'ts308'", "'ts312'"), Annotation: sabado punlla sombawata rrinayachinguichi
    Time Stamp: ("'ts318'", "'ts319'"), Annotation: aa
    Time Stamp: ("'ts320'", "'ts326'"), Annotation: ari chaypi chaypi chay jila lomata traguta jatunayachin rrikushpa
    Time Stamp: ("'ts327'", "'ts330'"), Annotation: ñukapish chayman rrishkiani
    Time Stamp: ("'ts334'", "'ts338'"), Annotation: ari chapi feria tukurikpichi
    Time Stamp: ("'ts340'", "'ts345'"), Annotation: ari y chaypi llukchinaka domingo nachu ima punllachari
    Time Stamp: ("'ts346'", "'ts347'"), Annotation: domingucho ari mmm
    Time Stamp: ("'ts350'", "'ts353'"), Annotation: aa ari shina machashpa nachu
    Time Stamp: ("'ts354'", "'ts357'"), Annotation: kay churanakuna maymanda apamungui
    Time Stamp: ("'ts358'", "'ts360'"), Annotation: ambatomanda
    Time Stamp: ("'ts361'", "'ts363'"), Annotation: y kikin rringuichu chayman kawsangapak ari
    Time Stamp: ("'ts365'", "'ts369'"), Annotation: mashna viaje killapi rringui
    Time Stamp: ("'ts370'", "'ts371'"), Annotation: cada semana rringui ari
    Time Stamp: ("'ts374'", "'ts379'"), Annotation: ambatoman chaypi ashtawan barato alli churajuna kan chaypi
    Time Stamp: ("'ts380'", "'ts381'"), Annotation: aja
    Time Stamp: ("'ts382'", "'ts383'"), Annotation: ari
    Time Stamp: ("'ts384'", "'ts385'"), Annotation: mm
    Time Stamp: ("'ts386'", "'ts387'"), Annotation: yaaa
    Time Stamp: ("'ts390'", "'ts397'"), Annotation: Estados Unidosmanda kani ari shinaka Quitupi kawsani ari
    Time Stamp: ("'ts398'", "'ts400'"), Annotation: caru caru kan pero
    Time Stamp: ("'ts402'", "'ts403'"), Annotation: a ya
    Time Stamp: ("'ts407'", "'ts413'"), Annotation: chayta tarpungichi kaypi oka melloco brocolu
