Speaker: Adulto mayor
  Tier Type: po, Annotations Count: 282
    Time Stamp: ("'ts1'", "'ts2'"), Annotation: arii
    Time Stamp: ("'ts5'", "'ts6'"), Annotation: rriksinimi
    Time Stamp: ("'ts7'", "'ts9'"), Annotation: kuti inditami na ñuka na gustu rriksini
    Time Stamp: ("'ts24'", "'ts26'"), Annotation: ya apuntaku
    Time Stamp: ("'ts30'", "'ts33'"), Annotation: Andres Chulukinga
    Time Stamp: ("'ts37'", "'ts38'"), Annotation: ochenta y dos
    Time Stamp: ("'ts40'", "'ts42'"), Annotation: ña kuna kay wata  pasakrin ochentamanta
    Time Stamp: ("'ts44'", "'ts46'"), Annotation: ñuka ya bonowapi yachani
    Time Stamp: ("'ts50'", "'ts53'"), Annotation: a aaa
    Time Stamp: ("'ts55'", "'ts57'"), Annotation: cobranimi
    Time Stamp: ("'ts61'", "'ts62'"), Annotation: San Franciscota  tyan
    Time Stamp: ("'ts64'", "'ts66'"), Annotation: Francisco ña chimbapi  San Francisco tukurirka kayna
    Time Stamp: ("'ts68'", "'ts69'"), Annotation: (...............)
    Time Stamp: ("'ts71'", "'ts72'"), Annotation: trastewayman entregay ima tyarkan  tukurirkami kaypi kutin
    Time Stamp: ("'ts73'", "'ts74'"), Annotation: tuklluman muyuni jawamanta pungumanda ña chimba  uksha loma  jatapolon
    Time Stamp: ("'ts75'", "'ts76'"), Annotation: ura chimanda centro  capilla uku   chimba lagua tokma
    Time Stamp: ("'ts77'", "'ts79'"), Annotation: kay irioksi loma tukurimunga
    Time Stamp: ("'ts80'", "'ts82'"), Annotation: cada wata watapi watapi
    Time Stamp: ("'ts83'", "'ts84'"), Annotation: priosteta rrurranchikia
    Time Stamp: ("'ts86'", "'ts87'"), Annotation: a aaa comuna
    Time Stamp: ("'ts88'", "'ts91'"), Annotation: ari comunaman
    Time Stamp: ("'ts92'", "'ts95'"), Annotation: tayta san francisco
    Time Stamp: ("'ts96'", "'ts97'"), Annotation: mm
    Time Stamp: ("'ts98'", "'ts101'"), Annotation: chayka ura mashtimi cuatro esquinaspi
