Speaker: señor con gorra
  Tier Type: po, Annotations Count: 110
    Time Stamp: ("'ts1'", "'ts3'"), Annotation: ya ya ya
    Time Stamp: ("'ts4'", "'ts6'"), Annotation: ñachu kanchi iti mashna wata vangelio kangui papitu
    Time Stamp: ("'ts8'", "'ts10'"), Annotation: ya - ari ari papitu
    Time Stamp: ("'ts16'", "'ts19'"), Annotation: None
    Time Stamp: ("'ts26'", "'ts28'"), Annotation: None
    Time Stamp: ("'ts63'", "'ts64'"), Annotation: alli papitu , allimi Diosta catinaca mana ima malchu can
    Time Stamp: ("'ts65'", "'ts66'"), Annotation: y allimi can , bueno, chay cunun tiempocuna ashta mas fàcil crictucunatiacpi  manllanchi nachu
    Time Stamp: ("'ts67'", "'ts69'"), Annotation: jintita manllanchic mejor Diosta na manchanchic
    Time Stamp: ("'ts70'", "'ts72'"), Annotation: jintita manllanchi waquimbi crictucunata mana munanchi waquimbica
    Time Stamp: ("'ts73'", "'ts74'"), Annotation: crictucuna nijushpash cutin huashaman rinchi chaytaka diablo, chayta rajun nachu
    Time Stamp: ("'ts75'", "'ts77'"), Annotation: papitu
    Time Stamp: ("'ts79'", "'ts81'"), Annotation: None
    Time Stamp: ("'ts103'", "'ts104'"), Annotation: ari shinami  cutin  guaquinjunaca
    Time Stamp: ("'ts105'", "'ts106'"), Annotation: shina mana persecuciongunata aparishpa tiempocuna shina mana cashpaca iglesiamun
    Time Stamp: ("'ts107'", "'ts108'"), Annotation: chayan cuti faciltash vueltamun cutin munduman rinajun
    Time Stamp: ("'ts109'", "'ts110'"), Annotation: chaycunahuan cutin mana cuentada cui tucurin
    Time Stamp: ("'ts111'", "'ts112'"), Annotation: Dios caipachabi bajo pide castijucunata cachajucpish mana cuenta cunchi nachu ñucunchi cama mana cuenta cunchi  mana chayta
    Time Stamp: ("'ts113'", "'ts114'"), Annotation: ñucunchi Diosta ashcata burlananjunchi chicunamandami ñuca
    Time Stamp: ("'ts115'", "'ts116'"), Annotation:  ari ñuca cani catolico , ñuca warmimi can cric
    Time Stamp: ("'ts117'", "'ts118'"), Annotation: pero ñuca puntacunata ufiashp purishacani pero mucha medida
    Time Stamp: ("'ts119'", "'ts120'"), Annotation: caymundaca ña saquishcani ya como seis meses por hayta ya na ufiani
    Time Stamp: ("'ts121'", "'ts122'"), Annotation: ya na chay jayac yacucunamun rini ñuca ricujuni ñuca sapa yaicungapa mana
    Time Stamp: ("'ts123'", "'ts124'"), Annotation: ñuca warmi esfuerzo jacu nishca ringapac sino que ñuca sapa yaicushpaca podena  cani
    Time Stamp: ("'ts125'", "'ts126'"), Annotation: cutish na sapa yaicush llu ningallari ñuca suedro cric can  ningallari
    Time Stamp: ("'ts127'", "'ts128'"), Annotation: masha cric tucui jacu , o ñuca warmi ningallari crictucui jacu nikpi
