Speaker: hombre 1
  Tier Type: po, Annotations Count: 772
    Time Stamp: ("'ts1'", "'ts2'"), Annotation: kay jawalla colunga urku michishka kay jawalla kayka
    Time Stamp: ("'ts4'", "'ts6'"), Annotation: dinuka puntaka na tiarka
    Time Stamp: ("'ts8'", "'ts10'"), Annotation: na colunka kay jawa urkutinnimi
    Time Stamp: ("'ts11'", "'ts12'"), Annotation: kutin shina yakugu rin ashta virginlla
    Time Stamp: ("'ts15'", "'ts16'"), Annotation: chimanda ñukanchik yaku shamujun
    Time Stamp: ("'ts19'", "'ts20'"), Annotation: ah ah
    Time Stamp: ("'ts21'", "'ts22'"), Annotation: ya cuantos años chayra kay guatalla chayamushka
    Time Stamp: ("'ts29'", "'ts30'"), Annotation: ari
    Time Stamp: ("'ts33'", "'ts34'"), Annotation: dos horas cemento tuberiaman
    Time Stamp: ("'ts35'", "'ts36'"), Annotation: ninti ninti nintita sufrircanchik
    Time Stamp: ("'ts39'", "'ts42'"), Annotation: chay ankus cuchata nishkiata riksirinkimi
    Time Stamp: ("'ts44'", "'ts46'"), Annotation: kay ladumanta kungada tubumanta  apamunakunchik
    Time Stamp: ("'ts48'", "'ts50'"), Annotation: jatun yana urkuta yalish kashga
    Time Stamp: ("'ts53'", "'ts54'"), Annotation: mmmm
    Time Stamp: ("'ts59'", "'ts60'"), Annotation: ari shinamaginguito
    Time Stamp: ("'ts61'", "'ts62'"), Annotation: chay oyacachi nachu
    Time Stamp: ("'ts68'", "'ts70'"), Annotation: (.........................................................)
    Time Stamp: ("'ts75'", "'ts76'"), Annotation: kayaguka vutacionmamary rinatukunga
    Time Stamp: ("'ts83'", "'ts84'"), Annotation: chiga
    Time Stamp: ("'ts85'", "'ts88'"), Annotation: chay cuentoka mashtig
    Time Stamp: ("'ts90'", "'ts92'"), Annotation: mashti
    Time Stamp: ("'ts95'", "'ts96'"), Annotation: ñukaka Alejandro Anrango Kuyagu Kani
    Time Stamp: ("'ts107'", "'ts108'"), Annotation: chi
    Time Stamp: ("'ts111'", "'ts112'"), Annotation: kayka kay puesto puesto pachaka compania costa sol shuti
    Time Stamp: ("'ts115'", "'ts117'"), Annotation: kutin ñan manda ura ladu chini  kutin Compañia Lote dos kan
    Time Stamp: ("'ts119'", "'ts120'"), Annotation: ah ah kayka costa sol
    Time Stamp: ("'ts121'", "'ts122'"), Annotation: kay puesto pachaga chayka
    Time Stamp: ("'ts123'", "'ts124'"), Annotation: chay pundaka
    Time Stamp: ("'ts125'", "'ts126'"), Annotation: masti
    Time Stamp: ("'ts127'", "'ts128'"), Annotation: atug atug shina purinagannin
    Time Stamp: ("'ts131'", "'ts132'"), Annotation: atug shina
