Speaker: simeon
  Tier Type: po, Annotations Count: 1001
    Time Stamp: ("'ts1'", "'ts2'"), Annotation: ya listo chay poste
    Time Stamp: ("'ts3'", "'ts4'"), Annotation: (risa) washapi ña
    Time Stamp: ("'ts6'", "'ts8'"), Annotation: chaypi ali kanga ña
    Time Stamp: ("'ts9'", "'ts10'"), Annotation: ahora si
    Time Stamp: ("'ts11'", "'ts12'"), Annotation: entonces katishun ñuka tapurkani turipi
    Time Stamp: ("'ts13'", "'ts14'"), Annotation: barba nirkanchi mana
    Time Stamp: ("'ts15'", "'ts19'"), Annotation: barba tyanllu pero  nachu imatan nin espa--- castellanopi nin  basbasta barbasta  barbas viñajun shina viñajun shina
    Time Stamp: ("'ts25'", "'ts27'"), Annotation: miski chuspi ninllu
    Time Stamp: ("'ts29'", "'ts30'"), Annotation: mmm
    Time Stamp: ("'ts31'", "'ts32'"), Annotation: eso emmm
    Time Stamp: ("'ts33'", "'ts34'"), Annotation: y na shuk palabra na tyan
    Time Stamp: ("'ts35'", "'ts36'"), Annotation: abeja ningapak mishki chuspi
    Time Stamp: ("'ts39'", "'ts41'"), Annotation: aja amu uyashkianguia amu
    Time Stamp: ("'ts45'", "'ts46'"), Annotation: emmmm
    Time Stamp: ("'ts47'", "'ts48'"), Annotation: barriga falsa
    Time Stamp: ("'ts49'", "'ts50'"), Annotation: viksa
    Time Stamp: ("'ts51'", "'ts52'"), Annotation: cinturon
    Time Stamp: ("'ts54'", "'ts56'"), Annotation: chumbi aja
    Time Stamp: ("'ts57'", "'ts58'"), Annotation: kaypi nin wata peroo
    Time Stamp: ("'ts59'", "'ts60'"), Annotation: osea watana tyan
    Time Stamp: ("'ts62'", "'ts63'"), Annotation: pero na wata
    Time Stamp: ("'ts64'", "'ts66'"), Annotation: solo watana ajan
    Time Stamp: ("'ts67'", "'ts68'"), Annotation: on chuktana
    Time Stamp: ("'ts69'", "'ts70'"), Annotation:  eemm pajaro o ave
    Time Stamp: ("'ts72'", "'ts75'"), Annotation: pishku
    Time Stamp: ("'ts77'", "'ts79'"), Annotation: lunar o luna yana
    Time Stamp: ("'ts80'", "'ts83'"), Annotation: lunar na lunar de nachu nachu nin
    Time Stamp: ("'ts84'", "'ts88'"), Annotation: yana shuk yana  a yaa
    Time Stamp: ("'ts89'", "'ts90'"), Annotation: yana
    Time Stamp: ("'ts91'", "'ts92'"), Annotation: la vejiga
    Time Stamp: ("'ts99'", "'ts101'"), Annotation: na tyanllu vejiga nin vejiga
    Time Stamp: ("'ts103'", "'ts105'"), Annotation: vejiga kaypi tyan pokuchuk
    Time Stamp: ("'ts107'", "'ts109'"), Annotation: na uyashkangui  na tayshka
    Time Stamp: ("'ts111'", "'ts115'"), Annotation: pero nachu tyan wakimpi tyan  bueno  kipaman tapusha igua igado chaykuna pero wakimpi tyan shunku chaypa kipa tyan  yana  shunku  yurak shunku  wakimpi nacha
    Time Stamp: ("'ts117'", "'ts122'"), Annotation: pero  vejiga na yapa maypi ña ishpanchik chay yaku na na tyan  solo vejiga ninga castellanopi  ajan
