Speaker: Mujer 1 
  Tier Type: po, Annotations Count: 560
    Time Stamp: ('ts1', 'ts2'), Annotation: chaypi nini 
    Time Stamp: ('ts3', 'ts4'), Annotation: o sino 
    Time Stamp: ('ts5', 'ts6'), Annotation: kuchitaka rrandingi
    Time Stamp: ('ts15', 'ts16'), Annotation: haaaa
    Time Stamp: ('ts17', 'ts18'), Annotation: Rociobabi 
    Time Stamp: ('ts23', 'ts24'), Annotation: haaaaaaa
    Time Stamp: ('ts25', 'ts26'), Annotation: jatusha ninjunmi
    Time Stamp: ('ts27', 'ts28'), Annotation: enterumpi 
    Time Stamp: ('ts29', 'ts30'), Annotation: sinoga 
    Time Stamp: ('ts31', 'ts32'), Annotation: chaspinami 
    Time Stamp: ('ts33', 'ts34'), Annotation: chaeme nuk 
    Time Stamp: ('ts35', 'ts36'), Annotation: ñuka rrikani 
    Time Stamp: ('ts38', 'ts40'), Annotation: kayna 
    Time Stamp: ('ts43', 'ts44'), Annotation: chika 
    Time Stamp: ('ts45', 'ts46'), Annotation: enterumbi 
    Time Stamp: ('ts47', 'ts48'), Annotation: rrandina nikami 
    Time Stamp: ('ts49', 'ts50'), Annotation: na 
    Time Stamp: ('ts51', 'ts52'), Annotation: guañuchina 
    Time Stamp: ('ts53', 'ts55'), Annotation: enterombi apana 
    Time Stamp: ('ts58', 'ts60'), Annotation: guañuchingapa nirkani 
    Time Stamp: ('ts61', 'ts62'), Annotation: pero 
    Time Stamp: ('ts63', 'ts65'), Annotation: na ushanika 
    Time Stamp: ('ts67', 'ts68'), Annotation: Manolopi 
    Time Stamp: ('ts69', 'ts70'), Annotation: negociajurkani 
    Time Stamp: ('ts71', 'ts73'), Annotation: enteronta rrandirka 
    Time Stamp: ('ts76', 'ts78'), Annotation: ha ha 
    Time Stamp: ('ts81', 'ts82'), Annotation: ciendolarrtami kurka 
    Time Stamp: ('ts87', 'ts88'), Annotation: no se 
    Time Stamp: ('ts89', 'ts90'), Annotation: chiri misayan 
    Time Stamp: ('ts91', 'ts92'), Annotation: (...............)
    Time Stamp: ('ts93', 'ts94'), Annotation: kulki illan 
    Time Stamp: ('ts95', 'ts96'), Annotation: kaya 
    Time Stamp: ('ts97', 'ts98'), Annotation: (...............)
