Speaker: Mujer Joven
  Tier Type: po, Annotations Count: 195
    Time Stamp: ('ts5', 'ts7'), Annotation: Ña rabagajun
    Time Stamp: ('ts10', 'ts12'), Annotation: Ñuka (...)pinga jaa
    Time Stamp: ('ts18', 'ts20'), Annotation: Ya tapuy tapuy
    Time Stamp: ('ts33', 'ts35'), Annotation: Setenta y tres años
    Time Stamp: ('ts40', 'ts44'), Annotation: maychari tuparin
    Time Stamp: ('ts45', 'ts46'), Annotation: ya ya
    Time Stamp: ('ts50', 'ts53'), Annotation: ña fiñarishkamari
    Time Stamp: ('ts54', 'ts56'), Annotation: Payta tapuy nikpi nachu 
    Time Stamp: ('ts57', 'ts59'), Annotation: quita(...)
    Time Stamp: ('ts60', 'ts62'), Annotation: Imashata kurkani (...)
    Time Stamp: ('ts68', 'ts69'), Annotation: Ñachu grabajun
    Time Stamp: ('ts71', 'ts73'), Annotation: Mamitaka uchila kashaka mayvita wacharishka maymuntata kangui kanllamanta.
    Time Stamp: ('ts75', 'ts77'), Annotation: Kanma mama chilla patamanta karka o kanba tayta
    Time Stamp: ('ts81', 'ts82'), Annotation: Mashna wata charisha kay (...)timanga shaurkangui mamitaka
    Time Stamp: ('ts91', 'ts92'), Annotation: Ñuka abuilu imashna wata charishpa wañurka
    Time Stamp: ('ts100', 'ts102'), Annotation: ÑUka aguiluka alichu karka
    Time Stamp: ('ts104', 'ts107'), Annotation: Ñuka mana riksirkani ñuka abueluwata
    Time Stamp: ('ts109', 'ts111'), Annotation: Buenas tardes tio Abelardo, ñuka tiyu chayamujunmi.
    Time Stamp: ('ts116', 'ts118'), Annotation: Ñuka abuiluwan cazarasha kawsarkangui maita
    Time Stamp: ('ts122', 'ts123'), Annotation: chimbapi unaytachu kawsarkangui
    Time Stamp: ('ts131', 'ts132'), Annotation: mamitagupa mamaka mashna wata charikpita wañurka mamita charijukpi
    Time Stamp: ('ts141', 'ts142'), Annotation: Mamitapa taytachu punta wañurka
    Time Stamp: ('ts145', 'ts146'), Annotation: ah chay paykunaka maypita kawsarka.
    Time Stamp: ('ts150', 'ts152'), Annotation: kuti ñuka kunanga kay abueluwataka 
    Time Stamp: ('ts153', 'ts155'), Annotation: Cazarashka kasash wañun ñuka abuilumandash
    Time Stamp: ('ts169', 'ts170'), Annotation: cinco cinco kan 
    Time Stamp: ('ts171', 'ts172'), Annotation: Ñukanchipaklla
