Speaker: HOMBRE 1 A
  Tier Type: po, Annotations Count: 987
    Time Stamp: ('ts1', 'ts2'), Annotation: yaa
    Time Stamp: ('ts3', 'ts4'), Annotation: yaa
    Time Stamp: ('ts5', 'ts6'), Annotation: yyyyy
    Time Stamp: ('ts7', 'ts8'), Annotation: kay 
    Time Stamp: ('ts9', 'ts10'), Annotation: kasha 
    Time Stamp: ('ts11', 'ts12'), Annotation: japishka 
    Time Stamp: ('ts13', 'ts14'), Annotation: papaguka 
    Time Stamp: ('ts15', 'ts16'), Annotation: kutin 
    Time Stamp: ('ts17', 'ts18'), Annotation: rretuñanllu 
    Time Stamp: ('ts19', 'ts20'), Annotation: tayta Alces 
    Time Stamp: ('ts31', 'ts32'), Annotation: hay 
    Time Stamp: ('ts33', 'ts34'), Annotation: tayta Olmedo
    Time Stamp: ('ts38', 'ts42'), Annotation: disculpa 
    Time Stamp: ('ts95', 'ts96'), Annotation: ari
    Time Stamp: ('ts97', 'ts98'), Annotation: ari
    Time Stamp: ('ts99', 'ts100'), Annotation: ari
    Time Stamp: ('ts105', 'ts106'), Annotation: ari
    Time Stamp: ('ts107', 'ts108'), Annotation: pero
    Time Stamp: ('ts109', 'ts110'), Annotation: kunannn uras
    Time Stamp: ('ts111', 'ts112'), Annotation: eeeeeeee
    Time Stamp: ('ts113', 'ts114'), Annotation: precio 
    Time Stamp: ('ts115', 'ts116'), Annotation: de
    Time Stamp: ('ts117', 'ts118'), Annotation: papaka 
    Time Stamp: ('ts119', 'ts120'), Annotation: ima shinata kajun
    Time Stamp: ('ts129', 'ts130'), Annotation: mmm
    Time Stamp: ('ts131', 'ts132'), Annotation: ya 
    Time Stamp: ('ts136', 'ts138'), Annotation: ñaaaaa
    Time Stamp: ('ts139', 'ts140'), Annotation: shina kan 
    Time Stamp: ('ts141', 'ts142'), Annotation: tuku
    Time Stamp: ('ts143', 'ts145'), Annotation: alli tukumujushka ña
    Time Stamp: ('ts170', 'ts174'), Annotation: ¡aaaaaaaaaa!
    Time Stamp: ('ts191', 'ts192'), Annotation: alli, alli
    Time Stamp: ('ts193', 'ts194'), Annotation: alli
    Time Stamp: ('ts195', 'ts196'), Annotation: chaymandaka
    Time Stamp: ('ts197', 'ts198'), Annotation: shug allpagutaka
    Time Stamp: ('ts199', 'ts200'), Annotation: cumbidanakangichi
    Time Stamp: ('ts201', 'ts202'), Annotation: kanguna 
    Time Stamp: ('ts205', 'ts207'), Annotation: asin
    Time Stamp: ('ts209', 'ts210'), Annotation: asin 
    Time Stamp: ('ts211', 'ts212'), Annotation: cumbidangichi
    Time Stamp: ('ts213', 'ts214'), Annotation: aaalli
    Time Stamp: ('ts215', 'ts216'), Annotation: aaallima
    Time Stamp: ('ts217', 'ts218'), Annotation: kaytaggg
    Time Stamp: ('ts219', 'ts220'), Annotation: kaytaga
    Time Stamp: ('ts221', 'ts222'), Annotation: funigangichu
    Time Stamp: ('ts223', 'ts224'), Annotation: oooo
    Time Stamp: ('ts225', 'ts226'), Annotation: ñaaaa
    Time Stamp: ('ts227', 'ts228'), Annotation: jallumushka
