Speaker: simeon 
  Tier Type: po, Annotations Count: 369
    Time Stamp: ('ts1', 'ts2'), Annotation: ya ñukapash llukshisha
    Time Stamp: ('ts3', 'ts4'), Annotation: entonces kaypi 
    Time Stamp: ('ts5', 'ts6'), Annotation: ima shuti kan kay llakta 
    Time Stamp: ('ts8', 'ts10'), Annotation: pamba marquita y ima shuti kangi
    Time Stamp: ('ts14', 'ts16'), Annotation: lemayco 
    Time Stamp: ('ts17', 'ts20'), Annotation: lemayco 
    Time Stamp: ('ts21', 'ts23'), Annotation: chayshuk compañera ima shuti 
    Time Stamp: ('ts25', 'ts26'), Annotation:  Chiquimba
    Time Stamp: ('ts27', 'ts28'), Annotation: ari 
    Time Stamp: ('ts29', 'ts30'), Annotation: shina ashka shina apellidokuna tyan kaypi 
    Time Stamp: ('ts36', 'ts38'), Annotation: aaa
    Time Stamp: ('ts39', 'ts40'), Annotation: eee bueno y washapi kikimba wasi nachu 
    Time Stamp: ('ts42', 'ts44'), Annotation: o qui.. pipa wasi kan 
    Time Stamp: ('ts46', 'ts48'), Annotation: kaychu 
    Time Stamp: ('ts51', 'ts52'), Annotation: maypi 
    Time Stamp: ('ts57', 'ts58'), Annotation: aaa
    Time Stamp: ('ts59', 'ts60'), Annotation:  wasi illan ima maypi wasi 
    Time Stamp: ('ts64', 'ts67'), Annotation: mmmm
    Time Stamp: ('ts69', 'ts70'), Annotation: mmm
    Time Stamp: ('ts71', 'ts72'), Annotation: ima ima shina wasi karka alpa wasi 
    Time Stamp: ('ts75', 'ts76'), Annotation: tejachu 
    Time Stamp: ('ts78', 'ts80'), Annotation: maypi kaypi 
    Time Stamp: ('ts82', 'ts85'), Annotation: aja 
    Time Stamp: ('ts89', 'ts90'), Annotation: mmm
    Time Stamp: ('ts93', 'ts95'), Annotation: ari 
    Time Stamp: ('ts96', 'ts99'), Annotation: piwan kawsarkangui chay 
    Time Stamp: ('ts105', 'ts106'), Annotation: mjm
    Time Stamp: ('ts112', 'ts114'), Annotation: mmmm
    Time Stamp: ('ts116', 'ts117'), Annotation: cierto
    Time Stamp: ('ts119', 'ts121'), Annotation: aaa yaa
    Time Stamp: ('ts127', 'ts129'), Annotation: payka kusata charirkachu o paylla
    Time Stamp: ('ts130', 'ts132'), Annotation: cierto
    Time Stamp: ('ts143', 'ts144'), Annotation: cierto
    Time Stamp: ('ts146', 'ts151'), Annotation: ufiangapaklla o oo jatungapak 
    Time Stamp: ('ts157', 'ts159'), Annotation: mmm
    Time Stamp: ('ts161', 'ts163'), Annotation: aja
    Time Stamp: ('ts169', 'ts170'), Annotation: mmmm y maypi charirkangichi tar tarpushkia kayta 
    Time Stamp: ('ts172', 'ts174'), Annotation: ari
    Time Stamp: ('ts177', 'ts179'), Annotation: mmmm
    Time Stamp: ('ts181', 'ts183'), Annotation: mmm
    Time Stamp: ('ts185', 'ts186'), Annotation: cierto
    Time Stamp: ('ts188', 'ts189'), Annotation: ari 
    Time Stamp: ('ts192', 'ts195'), Annotation: mm
    Time Stamp: ('ts198', 'ts201'), Annotation: mmm ari 
    Time Stamp: ('ts205', 'ts206'), Annotation: aja
    Time Stamp: ('ts211', 'ts212'), Annotation: mmm
    Time Stamp: ('ts216', 'ts217'), Annotation: mishkita rriksirkangui ima shina trabajo
    Time Stamp: ('ts219', 'ts220'), Annotation: mjmm
    Time Stamp: ('ts223', 'ts224'), Annotation: mmmm
    Time Stamp: ('ts229', 'ts230'), Annotation: mmm
